prompt,human_text,machine_text,model,source,language
-,-,-,bigscience/bloomz,PeerRead/acl_2017/,English
-,-,-,bigscience/bloomz,PeerRead/acl_2017/,English
-,-,-,bigscience/bloomz,PeerRead/acl_2017/,English
-,-,-,bigscience/bloomz,PeerRead/acl_2017/,English
-,-,-,bigscience/bloomz,PeerRead/acl_2017/,English
-,-,-,bigscience/bloomz,PeerRead/acl_2017/,English
-,-,-,bigscience/bloomz,PeerRead/acl_2017/,English
-,-,-,bigscience/bloomz,PeerRead/acl_2017/,English
-,-,-,bigscience/bloomz,PeerRead/acl_2017/,English
-,-,-,bigscience/bloomz,PeerRead/acl_2017/,English
-,-,-,bigscience/bloomz,PeerRead/acl_2017/,English
-,-,-,bigscience/bloomz,PeerRead/acl_2017/,English
-,-,-,bigscience/bloomz,PeerRead/acl_2017/,English
-,-,-,bigscience/bloomz,PeerRead/acl_2017/,English
-,-,-,bigscience/bloomz,PeerRead/acl_2017/,English
-,-,-,bigscience/bloomz,PeerRead/acl_2017/,English
-,-,-,bigscience/bloomz,PeerRead/acl_2017/,English
-,-,-,bigscience/bloomz,PeerRead/acl_2017/,English
-,-,-,bigscience/bloomz,PeerRead/acl_2017/,English
-,-,-,bigscience/bloomz,PeerRead/acl_2017/,English
-,-,-,bigscience/bloomz,PeerRead/acl_2017/,English
-,-,-,bigscience/bloomz,PeerRead/acl_2017/,English
-,-,-,bigscience/bloomz,PeerRead/acl_2017/,English
-,-,-,bigscience/bloomz,PeerRead/acl_2017/,English
-,-,-,bigscience/bloomz,PeerRead/acl_2017/,English
-,-,-,bigscience/bloomz,PeerRead/acl_2017/,English
-,-,-,bigscience/bloomz,PeerRead/acl_2017/,English
-,-,-,bigscience/bloomz,PeerRead/acl_2017/,English
-,-,-,bigscience/bloomz,PeerRead/acl_2017/,English
-,-,-,bigscience/bloomz,PeerRead/acl_2017/,English
-,-,-,bigscience/bloomz,PeerRead/acl_2017/,English
-,-,-,bigscience/bloomz,PeerRead/acl_2017/,English
-,-,-,bigscience/bloomz,PeerRead/acl_2017/,English
-,-,-,bigscience/bloomz,PeerRead/acl_2017/,English
-,-,-,bigscience/bloomz,PeerRead/acl_2017/,English
-,-,-,bigscience/bloomz,PeerRead/acl_2017/,English
-,-,-,bigscience/bloomz,PeerRead/acl_2017/,English
-,-,-,bigscience/bloomz,PeerRead/acl_2017/,English
-,-,-,bigscience/bloomz,PeerRead/acl_2017/,English
-,-,-,bigscience/bloomz,PeerRead/acl_2017/,English
-,-,-,bigscience/bloomz,PeerRead/acl_2017/,English
-,-,-,bigscience/bloomz,PeerRead/acl_2017/,English
-,-,-,bigscience/bloomz,PeerRead/acl_2017/,English
-,-,-,bigscience/bloomz,PeerRead/acl_2017/,English
-,-,-,bigscience/bloomz,PeerRead/acl_2017/,English
-,-,-,bigscience/bloomz,PeerRead/acl_2017/,English
-,-,-,bigscience/bloomz,PeerRead/acl_2017/,English
-,-,-,bigscience/bloomz,PeerRead/acl_2017/,English
-,-,-,bigscience/bloomz,PeerRead/acl_2017/,English
-,-,-,bigscience/bloomz,PeerRead/acl_2017/,English
-,-,-,bigscience/bloomz,PeerRead/acl_2017/,English
-,-,-,bigscience/bloomz,PeerRead/acl_2017/,English
-,-,-,bigscience/bloomz,PeerRead/acl_2017/,English
-,-,-,bigscience/bloomz,PeerRead/acl_2017/,English
-,-,-,bigscience/bloomz,PeerRead/acl_2017/,English
-,-,-,bigscience/bloomz,PeerRead/acl_2017/,English
-,-,-,bigscience/bloomz,PeerRead/acl_2017/,English
-,-,-,bigscience/bloomz,PeerRead/acl_2017/,English
-,-,-,bigscience/bloomz,PeerRead/acl_2017/,English
-,-,-,bigscience/bloomz,PeerRead/acl_2017/,English
-,-,-,bigscience/bloomz,PeerRead/acl_2017/,English
-,-,-,bigscience/bloomz,PeerRead/acl_2017/,English
-,-,-,bigscience/bloomz,PeerRead/acl_2017/,English
-,-,-,bigscience/bloomz,PeerRead/acl_2017/,English
-,-,-,bigscience/bloomz,PeerRead/acl_2017/,English
-,-,-,bigscience/bloomz,PeerRead/acl_2017/,English
-,-,-,bigscience/bloomz,PeerRead/acl_2017/,English
-,-,-,bigscience/bloomz,PeerRead/acl_2017/,English
-,-,-,bigscience/bloomz,PeerRead/acl_2017/,English
-,-,-,bigscience/bloomz,PeerRead/acl_2017/,English
-,-,-,bigscience/bloomz,PeerRead/acl_2017/,English
-,-,-,bigscience/bloomz,PeerRead/acl_2017/,English
-,-,-,bigscience/bloomz,PeerRead/acl_2017/,English
-,-,-,bigscience/bloomz,PeerRead/acl_2017/,English
-,-,-,bigscience/bloomz,PeerRead/acl_2017/,English
-,-,-,bigscience/bloomz,PeerRead/acl_2017/,English
-,-,-,bigscience/bloomz,PeerRead/acl_2017/,English
-,-,-,bigscience/bloomz,PeerRead/acl_2017/,English
-,-,-,bigscience/bloomz,PeerRead/acl_2017/,English
-,-,-,bigscience/bloomz,PeerRead/acl_2017/,English
-,-,-,bigscience/bloomz,PeerRead/acl_2017/,English
-,-,-,bigscience/bloomz,PeerRead/acl_2017/,English
-,-,-,bigscience/bloomz,PeerRead/acl_2017/,English
-,-,-,bigscience/bloomz,PeerRead/acl_2017/,English
-,-,-,bigscience/bloomz,PeerRead/acl_2017/,English
-,-,-,bigscience/bloomz,PeerRead/acl_2017/,English
-,-,-,bigscience/bloomz,PeerRead/acl_2017/,English
-,-,-,bigscience/bloomz,PeerRead/acl_2017/,English
-,-,-,bigscience/bloomz,PeerRead/acl_2017/,English
-,-,-,bigscience/bloomz,PeerRead/acl_2017/,English
-,-,-,bigscience/bloomz,PeerRead/acl_2017/,English
-,-,-,bigscience/bloomz,PeerRead/acl_2017/,English
-,-,-,bigscience/bloomz,PeerRead/acl_2017/,English
-,-,-,bigscience/bloomz,PeerRead/acl_2017/,English
-,-,-,bigscience/bloomz,PeerRead/acl_2017/,English
-,-,-,bigscience/bloomz,PeerRead/acl_2017/,English
-,-,-,bigscience/bloomz,PeerRead/acl_2017/,English
-,-,-,bigscience/bloomz,PeerRead/acl_2017/,English
-,-,-,bigscience/bloomz,PeerRead/acl_2017/,English
-,-,-,bigscience/bloomz,PeerRead/acl_2017/,English
-,-,-,bigscience/bloomz,PeerRead/acl_2017/,English
-,-,-,bigscience/bloomz,PeerRead/acl_2017/,English
-,-,-,bigscience/bloomz,PeerRead/acl_2017/,English
-,-,-,bigscience/bloomz,PeerRead/acl_2017/,English
-,-,-,bigscience/bloomz,PeerRead/acl_2017/,English
-,-,-,bigscience/bloomz,PeerRead/acl_2017/,English
-,-,-,bigscience/bloomz,PeerRead/acl_2017/,English
-,-,-,bigscience/bloomz,PeerRead/acl_2017/,English
-,-,-,bigscience/bloomz,PeerRead/acl_2017/,English
-,-,-,bigscience/bloomz,PeerRead/acl_2017/,English
-,-,-,bigscience/bloomz,PeerRead/acl_2017/,English
-,-,-,bigscience/bloomz,PeerRead/acl_2017/,English
-,-,-,bigscience/bloomz,PeerRead/acl_2017/,English
-,-,-,bigscience/bloomz,PeerRead/acl_2017/,English
-,-,-,bigscience/bloomz,PeerRead/acl_2017/,English
-,-,-,bigscience/bloomz,PeerRead/acl_2017/,English
-,-,-,bigscience/bloomz,PeerRead/acl_2017/,English
-,-,-,bigscience/bloomz,PeerRead/acl_2017/,English
-,-,-,bigscience/bloomz,PeerRead/acl_2017/,English
-,-,-,bigscience/bloomz,PeerRead/acl_2017/,English
-,-,-,bigscience/bloomz,PeerRead/acl_2017/,English
-,-,-,bigscience/bloomz,PeerRead/acl_2017/,English
-,-,-,bigscience/bloomz,PeerRead/acl_2017/,English
-,-,-,bigscience/bloomz,PeerRead/acl_2017/,English
-,-,-,bigscience/bloomz,PeerRead/acl_2017/,English
-,-,-,bigscience/bloomz,PeerRead/acl_2017/,English
-,-,-,bigscience/bloomz,PeerRead/acl_2017/,English
-,-,-,bigscience/bloomz,PeerRead/acl_2017/,English
-,-,-,bigscience/bloomz,PeerRead/acl_2017/,English
-,-,-,bigscience/bloomz,PeerRead/acl_2017/,English
-,-,-,bigscience/bloomz,PeerRead/acl_2017/,English
-,-,-,bigscience/bloomz,PeerRead/acl_2017/,English
-,-,-,bigscience/bloomz,PeerRead/acl_2017/,English
-,-,-,bigscience/bloomz,PeerRead/acl_2017/,English
-,-,-,bigscience/bloomz,PeerRead/acl_2017/,English
-,-,-,bigscience/bloomz,PeerRead/acl_2017/,English
-,-,-,bigscience/bloomz,PeerRead/acl_2017/,English
-,-,-,bigscience/bloomz,PeerRead/conll_2016/,English
-,-,-,bigscience/bloomz,PeerRead/conll_2016/,English
-,-,-,bigscience/bloomz,PeerRead/conll_2016/,English
-,-,-,bigscience/bloomz,PeerRead/conll_2016/,English
-,-,-,bigscience/bloomz,PeerRead/conll_2016/,English
-,-,-,bigscience/bloomz,PeerRead/conll_2016/,English
-,-,-,bigscience/bloomz,PeerRead/conll_2016/,English
-,-,-,bigscience/bloomz,PeerRead/conll_2016/,English
-,-,-,bigscience/bloomz,PeerRead/conll_2016/,English
-,-,-,bigscience/bloomz,PeerRead/conll_2016/,English
-,-,-,bigscience/bloomz,PeerRead/conll_2016/,English
-,-,-,bigscience/bloomz,PeerRead/conll_2016/,English
-,-,-,bigscience/bloomz,PeerRead/conll_2016/,English
-,-,-,bigscience/bloomz,PeerRead/conll_2016/,English
-,-,-,bigscience/bloomz,PeerRead/conll_2016/,English
-,-,-,bigscience/bloomz,PeerRead/conll_2016/,English
-,-,-,bigscience/bloomz,PeerRead/conll_2016/,English
-,-,-,bigscience/bloomz,PeerRead/conll_2016/,English
-,-,-,bigscience/bloomz,PeerRead/conll_2016/,English
-,-,-,bigscience/bloomz,PeerRead/conll_2016/,English
-,-,-,bigscience/bloomz,PeerRead/conll_2016/,English
-,-,-,bigscience/bloomz,PeerRead/conll_2016/,English
-,-,-,bigscience/bloomz,PeerRead/iclr_2017/,English
-,-,-,bigscience/bloomz,PeerRead/iclr_2017/,English
-,-,-,bigscience/bloomz,PeerRead/iclr_2017/,English
-,-,-,bigscience/bloomz,PeerRead/iclr_2017/,English
-,-,-,bigscience/bloomz,PeerRead/iclr_2017/,English
-,-,-,bigscience/bloomz,PeerRead/iclr_2017/,English
-,-,-,bigscience/bloomz,PeerRead/iclr_2017/,English
-,-,-,bigscience/bloomz,PeerRead/iclr_2017/,English
-,-,-,bigscience/bloomz,PeerRead/iclr_2017/,English
-,-,-,bigscience/bloomz,PeerRead/iclr_2017/,English
-,-,-,bigscience/bloomz,PeerRead/iclr_2017/,English
-,-,-,bigscience/bloomz,PeerRead/iclr_2017/,English
-,-,-,bigscience/bloomz,PeerRead/iclr_2017/,English
-,-,-,bigscience/bloomz,PeerRead/iclr_2017/,English
-,-,-,bigscience/bloomz,PeerRead/iclr_2017/,English
-,-,-,bigscience/bloomz,PeerRead/iclr_2017/,English
-,-,-,bigscience/bloomz,PeerRead/iclr_2017/,English
-,-,-,bigscience/bloomz,PeerRead/iclr_2017/,English
-,-,-,bigscience/bloomz,PeerRead/iclr_2017/,English
-,-,-,bigscience/bloomz,PeerRead/iclr_2017/,English
-,-,-,bigscience/bloomz,PeerRead/iclr_2017/,English
-,-,-,bigscience/bloomz,PeerRead/iclr_2017/,English
-,-,-,bigscience/bloomz,PeerRead/iclr_2017/,English
-,-,-,bigscience/bloomz,PeerRead/iclr_2017/,English
-,-,-,bigscience/bloomz,PeerRead/iclr_2017/,English
-,-,-,bigscience/bloomz,PeerRead/iclr_2017/,English
-,-,-,bigscience/bloomz,PeerRead/iclr_2017/,English
-,-,-,bigscience/bloomz,PeerRead/iclr_2017/,English
-,-,-,bigscience/bloomz,PeerRead/iclr_2017/,English
-,-,-,bigscience/bloomz,PeerRead/iclr_2017/,English
-,-,-,bigscience/bloomz,PeerRead/iclr_2017/,English
-,-,-,bigscience/bloomz,PeerRead/iclr_2017/,English
-,-,-,bigscience/bloomz,PeerRead/iclr_2017/,English
-,-,-,bigscience/bloomz,PeerRead/iclr_2017/,English
-,-,-,bigscience/bloomz,PeerRead/iclr_2017/,English
-,-,-,bigscience/bloomz,PeerRead/iclr_2017/,English
-,-,-,bigscience/bloomz,PeerRead/iclr_2017/,English
-,-,-,bigscience/bloomz,PeerRead/iclr_2017/,English
-,-,-,bigscience/bloomz,PeerRead/iclr_2017/,English
-,-,-,bigscience/bloomz,PeerRead/iclr_2017/,English
-,-,-,bigscience/bloomz,PeerRead/iclr_2017/,English
-,-,-,bigscience/bloomz,PeerRead/iclr_2017/,English
-,-,-,bigscience/bloomz,PeerRead/iclr_2017/,English
-,-,-,bigscience/bloomz,PeerRead/iclr_2017/,English
-,-,-,bigscience/bloomz,PeerRead/iclr_2017/,English
-,-,-,bigscience/bloomz,PeerRead/iclr_2017/,English
-,-,-,bigscience/bloomz,PeerRead/iclr_2017/,English
-,-,-,bigscience/bloomz,PeerRead/iclr_2017/,English
-,-,-,bigscience/bloomz,PeerRead/iclr_2017/,English
-,-,-,bigscience/bloomz,PeerRead/iclr_2017/,English
-,-,-,bigscience/bloomz,PeerRead/iclr_2017/,English
-,-,-,bigscience/bloomz,PeerRead/iclr_2017/,English
-,-,-,bigscience/bloomz,PeerRead/iclr_2017/,English
-,-,-,bigscience/bloomz,PeerRead/iclr_2017/,English
-,-,-,bigscience/bloomz,PeerRead/iclr_2017/,English
-,-,-,bigscience/bloomz,PeerRead/iclr_2017/,English
-,-,-,bigscience/bloomz,PeerRead/iclr_2017/,English
-,-,-,bigscience/bloomz,PeerRead/iclr_2017/,English
-,-,-,bigscience/bloomz,PeerRead/iclr_2017/,English
-,-,-,bigscience/bloomz,PeerRead/iclr_2017/,English
-,-,-,bigscience/bloomz,PeerRead/iclr_2017/,English
-,-,-,bigscience/bloomz,PeerRead/iclr_2017/,English
-,-,-,bigscience/bloomz,PeerRead/iclr_2017/,English
-,-,-,bigscience/bloomz,PeerRead/iclr_2017/,English
-,-,-,bigscience/bloomz,PeerRead/iclr_2017/,English
-,-,-,bigscience/bloomz,PeerRead/iclr_2017/,English
-,-,-,bigscience/bloomz,PeerRead/iclr_2017/,English
-,-,-,bigscience/bloomz,PeerRead/iclr_2017/,English
-,-,-,bigscience/bloomz,PeerRead/iclr_2017/,English
-,-,-,bigscience/bloomz,PeerRead/iclr_2017/,English
-,-,-,bigscience/bloomz,PeerRead/iclr_2017/,English
-,-,-,bigscience/bloomz,PeerRead/iclr_2017/,English
-,-,-,bigscience/bloomz,PeerRead/iclr_2017/,English
-,-,-,bigscience/bloomz,PeerRead/iclr_2017/,English
-,-,-,bigscience/bloomz,PeerRead/iclr_2017/,English
-,-,-,bigscience/bloomz,PeerRead/iclr_2017/,English
-,-,-,bigscience/bloomz,PeerRead/iclr_2017/,English
-,-,-,bigscience/bloomz,PeerRead/iclr_2017/,English
-,-,-,bigscience/bloomz,PeerRead/iclr_2017/,English
-,-,-,bigscience/bloomz,PeerRead/iclr_2017/,English
-,-,-,bigscience/bloomz,PeerRead/iclr_2017/,English
-,-,-,bigscience/bloomz,PeerRead/iclr_2017/,English
-,-,-,bigscience/bloomz,PeerRead/iclr_2017/,English
-,-,-,bigscience/bloomz,PeerRead/iclr_2017/,English
-,-,-,bigscience/bloomz,PeerRead/iclr_2017/,English
-,-,-,bigscience/bloomz,PeerRead/iclr_2017/,English
-,-,-,bigscience/bloomz,PeerRead/iclr_2017/,English
-,-,-,bigscience/bloomz,PeerRead/iclr_2017/,English
-,-,-,bigscience/bloomz,PeerRead/iclr_2017/,English
-,-,-,bigscience/bloomz,PeerRead/iclr_2017/,English
-,-,-,bigscience/bloomz,PeerRead/iclr_2017/,English
-,-,-,bigscience/bloomz,PeerRead/iclr_2017/,English
-,-,-,bigscience/bloomz,PeerRead/iclr_2017/,English
-,-,-,bigscience/bloomz,PeerRead/iclr_2017/,English
-,-,-,bigscience/bloomz,PeerRead/iclr_2017/,English
-,-,-,bigscience/bloomz,PeerRead/iclr_2017/,English
-,-,-,bigscience/bloomz,PeerRead/iclr_2017/,English
-,-,-,bigscience/bloomz,PeerRead/iclr_2017/,English
-,-,-,bigscience/bloomz,PeerRead/iclr_2017/,English
-,-,-,bigscience/bloomz,PeerRead/iclr_2017/,English
-,-,-,bigscience/bloomz,PeerRead/iclr_2017/,English
-,-,-,bigscience/bloomz,PeerRead/iclr_2017/,English
-,-,-,bigscience/bloomz,PeerRead/iclr_2017/,English
-,-,-,bigscience/bloomz,PeerRead/iclr_2017/,English
-,-,-,bigscience/bloomz,PeerRead/iclr_2017/,English
-,-,-,bigscience/bloomz,PeerRead/iclr_2017/,English
-,-,-,bigscience/bloomz,PeerRead/iclr_2017/,English
-,-,-,bigscience/bloomz,PeerRead/iclr_2017/,English
-,-,-,bigscience/bloomz,PeerRead/iclr_2017/,English
-,-,-,bigscience/bloomz,PeerRead/iclr_2017/,English
-,-,-,bigscience/bloomz,PeerRead/iclr_2017/,English
-,-,-,bigscience/bloomz,PeerRead/iclr_2017/,English
-,-,-,bigscience/bloomz,PeerRead/iclr_2017/,English
-,-,-,bigscience/bloomz,PeerRead/iclr_2017/,English
-,-,-,bigscience/bloomz,PeerRead/iclr_2017/,English
-,-,-,bigscience/bloomz,PeerRead/iclr_2017/,English
-,-,-,bigscience/bloomz,PeerRead/iclr_2017/,English
-,-,-,bigscience/bloomz,PeerRead/iclr_2017/,English
-,-,-,bigscience/bloomz,PeerRead/iclr_2017/,English
-,-,-,bigscience/bloomz,PeerRead/iclr_2017/,English
-,-,-,bigscience/bloomz,PeerRead/iclr_2017/,English
-,-,-,bigscience/bloomz,PeerRead/iclr_2017/,English
-,-,-,bigscience/bloomz,PeerRead/iclr_2017/,English
-,-,-,bigscience/bloomz,PeerRead/iclr_2017/,English
-,-,-,bigscience/bloomz,PeerRead/iclr_2017/,English
-,-,-,bigscience/bloomz,PeerRead/iclr_2017/,English
-,-,-,bigscience/bloomz,PeerRead/iclr_2017/,English
-,-,-,bigscience/bloomz,PeerRead/iclr_2017/,English
-,-,-,bigscience/bloomz,PeerRead/iclr_2017/,English
-,-,-,bigscience/bloomz,PeerRead/iclr_2017/,English
-,-,-,bigscience/bloomz,PeerRead/iclr_2017/,English
-,-,-,bigscience/bloomz,PeerRead/iclr_2017/,English
-,-,-,bigscience/bloomz,PeerRead/iclr_2017/,English
-,-,-,bigscience/bloomz,PeerRead/iclr_2017/,English
